0.09989194313173348@Beauty	hair
0.004286667701058119@Beauty	natural
0.004252457025971642@Beauty	silky
0.004163853387703085@Beauty	lotions
0.004103796254250072@Beauty	breakouts
0.0040491736148687025@Beauty	tan
0.003991492890801825@Beauty	wavy
0.0038788917012553595@Beauty	moisturizers
0.0038534285588482102@Beauty	eyeshadow
0.0037730960559573825@Beauty	smooth
0.0036542229417580794@Beauty	scents
0.003650307801160135@Beauty	read
0.0036437931334449315@Beauty	bristles
0.003633004231842141@Beauty	wash
0.0035636063921755407@Beauty	soft
0.0035397927588551132@Beauty	sunscreen
0.0035329407080835827@Beauty	apply
0.00341101452617997@Beauty	dries
0.003402795509577223@Beauty	olay
0.003371707212229491@Beauty	clarisonic
0.003371707212229491@Beauty	l'oreal
0.003371707212229491@Beauty	gelish
0.003371707212229491@Beauty	sunscreens
0.003371707212229491@Beauty	neutrogena
0.003330995414464025@Beauty	polishes
0.0033017066740644386@Beauty	shower
0.0032429765229523475@Beauty	absorbs
0.003200406781263229@Beauty	lips
0.0031239606391639065@Beauty	smelling
0.0030760476005358686@Beauty	color
0.0030751523103127077@Beauty	creams
0.0030164565288240165@Beauty	cleansing
0.0030097911322891978@Beauty	dried
0.002978991139479566@Beauty	iron
0.002975488557898718@Beauty	spray
0.002931558934083906@Beauty	hairdresser
0.00292812080578869@Beauty	eau
0.00292812080578869@Beauty	hairdryer
0.002889998088473302@Beauty	tresemme
0.002889998088473302@Beauty	dandruff
0.002889998088473302@Beauty	parfum
0.0028642213836137255@Beauty	smelled
0.002817830806813843@Beauty	discontinued
0.0026947658531540886@Beauty	thick
0.0026423310342062623@Beauty	story
0.0025107430305070033@Beauty	forehead
0.0025018610250170984@Beauty	moisturize
0.0024934367757083@Beauty	sensitive
0.0024554715598880637@Beauty	bronzer
0.0024554715598880637@Beauty	straightens
0.0024235807154561763@Beauty	coats
0.002408301187114448@Beauty	colognes
0.002408301187114448@Beauty	blackheads
0.002408301187114448@Beauty	detangling
0.002408301187114448@Beauty	pigmentation
0.002408301187114448@Beauty	clinique
0.002370033222372941@Beauty	results
0.0023169179030863075@Beauty	foundation
0.002283541577910767@Beauty	floral
0.0022172114739734622@Beauty	mineral
0.0022172114739734622@Beauty	breakage
0.0021992487966270057@Beauty	wig
0.0021880337480331977@Beauty	residue
0.0021623516771800207@Beauty	scrub
0.0021469425742447535@Beauty	facial
0.0021296597231682465@Beauty	skincare
0.0021296597231682465@Beauty	hydrates
0.0019858543888493594@Beauty	revlon
0.0019858543888493594@Beauty	keratin
0.0019858543888493594@Beauty	eyelid
0.0019858543888493594@Beauty	goopy
0.0019858543888493594@Beauty	rosacea
0.0019781937846219196@Beauty	lasts
0.0019353082495098654@Beauty	tangles
0.0019266165076877563@Beauty	moisturizes
0.0019266165076877563@Beauty	sephora
0.0019266165076877563@Beauty	volumizing
0.0019266165076877563@Beauty	cleanses
0.0019266165076877563@Beauty	konad
0.0019266165076877563@Beauty	pantene
0.0019266165076877563@Beauty	tanners
0.0019266165076877563@Beauty	mascaras
0.00187632435050215@Beauty	pigment
0.001842233518720655@Beauty	moisture
0.0018060966133419353@Beauty	applied
0.0017346157245969047@Beauty	eczema
0.001729985195852505@Beauty	irons
0.0017122460549014395@Beauty	applying
0.001709294883315469@Beauty	leaves
0.0017076991900541098@Beauty	shimmer
0.0017048362977716293@Beauty	sprays
0.0017001409854631444@Beauty	rinsed
0.001685476955033649@Beauty	books
0.0016842016917284052@Beauty	mousse
0.0016737225052028822@Beauty	dermatologist
0.0016737225052028822@Beauty	hairspray
0.0016413681622721161@Beauty	stylist
0.0016400429158911947@Beauty	chemicals
0.0016014447100106063@Beauty	shade
0.0015364701384886724@Beauty	texture
0.0015210812035979947@Beauty	sunblock
0.0015210812035979947@Beauty	shampooed
0.0015210812035979947@Beauty	pimples
0.0015210812035979947@Beauty	clumpy
0.0015210812035979947@Beauty	bobbi
0.0015210812035979947@Beauty	exfoliates
0.0015210812035979947@Beauty	psoriasis
0.0015210812035979947@Beauty	curlers
0.0015073132378037382@Beauty	soaps
0.0014991997300648672@Beauty	mask
0.0014889314874453501@Beauty	reading
0.0014803111484544738@Beauty	tanner
0.0014798458504274364@Beauty	dye
0.00145804531098688@Beauty	tingles
0.00145804531098688@Beauty	dryness
0.00145804531098688@Beauty	evens
0.0014506698543632157@Beauty	characters
0.001444944049728079@Beauty	clarins
0.001444944049728079@Beauty	eyeshadows
0.001444944049728079@Beauty	exfoliation
0.001444944049728079@Beauty	bdellium
0.001444944049728079@Beauty	seborrheic
0.001444944049728079@Beauty	retinol
0.001444944049728079@Beauty	paraben
0.001444944049728079@Beauty	complexions
0.001444944049728079@Beauty	argan
0.001444944049728079@Beauty	nioxin
0.001444944049728079@Beauty	loreal
0.001444944049728079@Beauty	shampooing
0.001444944049728079@Beauty	cuticle
0.001444944049728079@Beauty	salicylic
0.001444944049728079@Beauty	concealers
0.001444944049728079@Beauty	detangle
0.0014312498008361978@Beauty	shine
0.0014221989672379154@Beauty	scented
0.001418212333118086@Beauty	remover
0.0013938682997573324@Beauty	wrinkles
