0.10232678@Digital_Music	song
4.6030508E-4@Digital_Music	instruments
4.5930632E-4@Digital_Music	linkin
4.5310485E-4@Digital_Music	vocalist
4.5261407E-4@Digital_Music	bass
4.473142E-4@Digital_Music	tupac
4.4324846E-4@Digital_Music	group
4.392632E-4@Digital_Music	jazzy
4.3613295E-4@Digital_Music	tori
4.360819E-4@Digital_Music	relaxing
4.3309713E-4@Digital_Music	band's
4.299717E-4@Digital_Music	works
4.218333E-4@Digital_Music	folk
4.2057293E-4@Digital_Music	vinyl
4.1677657E-4@Digital_Music	concert
4.159874E-4@Digital_Music	size
4.1522327E-4@Digital_Music	disco
4.12772E-4@Digital_Music	reminds
4.11283E-4@Digital_Music	instrumentals
4.0584285E-4@Digital_Music	indie
4.0423556E-4@Digital_Music	eminem's
4.0162454E-4@Digital_Music	worship
3.9909309E-4@Digital_Music	synth
3.9897152E-4@Digital_Music	listeners
3.9422646E-4@Digital_Music	amazing
3.9396257E-4@Digital_Music	musician
3.9171372E-4@Digital_Music	produced
3.9143665E-4@Digital_Music	adele
3.8420112E-4@Digital_Music	remixes
3.8203783E-4@Digital_Music	played
3.8024556E-4@Digital_Music	studio
3.7991314E-4@Digital_Music	series
3.7709394E-4@Digital_Music	bluegrass
3.7484462E-4@Digital_Music	alanis
3.719156E-4@Digital_Music	dmx
3.6920115E-4@Digital_Music	pac's
3.6505781E-4@Digital_Music	intro
3.58257E-4@Digital_Music	lyric
3.5621933E-4@Digital_Music	norah
3.5499476E-4@Digital_Music	fit
3.5318677E-4@Digital_Music	duet
3.5243505E-4@Digital_Music	voices
3.4864238E-4@Digital_Music	standout
3.4203773E-4@Digital_Music	mobb
3.3939295E-4@Digital_Music	riff
3.3842056E-4@Digital_Music	country
3.3349835E-4@Digital_Music	song's
3.3188405E-4@Digital_Music	dancing
3.3103387E-4@Digital_Music	releases
3.2500667E-4@Digital_Music	stevie
