0.025852479@Health_and_Personal_Care	product
0.0012727876@Health_and_Personal_Care	underarms
0.0012698413@Health_and_Personal_Care	music
0.0012674362@Health_and_Personal_Care	lube
0.0012584853@Health_and_Personal_Care	drink
0.0012560755@Health_and_Personal_Care	melatonin
0.0012497634@Health_and_Personal_Care	stains
0.001245038@Health_and_Personal_Care	probiotic
0.0012428003@Health_and_Personal_Care	meds
0.0012414344@Health_and_Personal_Care	powders
0.0012388614@Health_and_Personal_Care	liquid
0.0012368781@Health_and_Personal_Care	medication
0.001233503@Health_and_Personal_Care	omron
0.0012319684@Health_and_Personal_Care	arthritis
0.0012224071@Health_and_Personal_Care	magnesium
0.0012222055@Health_and_Personal_Care	digestive
0.0012135431@Health_and_Personal_Care	enjoyed
0.0012122307@Health_and_Personal_Care	lather
0.0012005346@Health_and_Personal_Care	dental
0.0011997547@Health_and_Personal_Care	jittery
0.0011814041@Health_and_Personal_Care	price
0.0011787093@Health_and_Personal_Care	brands
0.0011762864@Health_and_Personal_Care	hair
0.0011695696@Health_and_Personal_Care	toothbrushes
0.0011662936@Health_and_Personal_Care	muscles
0.0011633948@Health_and_Personal_Care	nose
0.0011401915@Health_and_Personal_Care	strips
0.0011369685@Health_and_Personal_Care	noticed
0.0011338557@Health_and_Personal_Care	colds
0.0011298059@Health_and_Personal_Care	nasal
0.0011265306@Health_and_Personal_Care	bathroom
0.0011199255@Health_and_Personal_Care	tablets
0.0011156468@Health_and_Personal_Care	loved
0.0011101838@Health_and_Personal_Care	brand
0.0011015843@Health_and_Personal_Care	day
0.0010922432@Health_and_Personal_Care	flavor
0.0010869044@Health_and_Personal_Care	zippo
0.0010816192@Health_and_Personal_Care	allergies
0.0010795309@Health_and_Personal_Care	waxing
0.0010790932@Health_and_Personal_Care	jitters
0.0010758495@Health_and_Personal_Care	sensitive
0.0010471838@Health_and_Personal_Care	mouthwash
0.00104479@Health_and_Personal_Care	fun
0.0010402633@Health_and_Personal_Care	tampons
0.001038478@Health_and_Personal_Care	character
0.0010380627@Health_and_Personal_Care	ingrown
0.0010363162@Health_and_Personal_Care	odor
0.0010313378@Health_and_Personal_Care	relieve
0.0010284246@Health_and_Personal_Care	boost
0.0010273664@Health_and_Personal_Care	week
0.001027274@Health_and_Personal_Care	ingredients
0.0010251504@Health_and_Personal_Care	wax
0.0010219293@Health_and_Personal_Care	soap
0.0010158259@Health_and_Personal_Care	body
0.0010097262@Health_and_Personal_Care	naturewise
9.998982E-4@Health_and_Personal_Care	blood
9.906776E-4@Health_and_Personal_Care	aches
9.859293E-4@Health_and_Personal_Care	calories
9.852074E-4@Health_and_Personal_Care	daily
9.815895E-4@Health_and_Personal_Care	shaved
9.674224E-4@Health_and_Personal_Care	oz
9.6534647E-4@Health_and_Personal_Care	brushing
9.57912E-4@Health_and_Personal_Care	cravings
9.5613935E-4@Health_and_Personal_Care	caffeine
9.507549E-4@Health_and_Personal_Care	gnc
9.359679E-4@Health_and_Personal_Care	shower
9.2950376E-4@Health_and_Personal_Care	bloating
9.2709064E-4@Health_and_Personal_Care	writing
9.2412735E-4@Health_and_Personal_Care	found
9.2075963E-4@Health_and_Personal_Care	swelling
9.102556E-4@Health_and_Personal_Care	antiperspirant
9.0732204E-4@Health_and_Personal_Care	dry
9.06504E-4@Health_and_Personal_Care	effects
9.027928E-4@Health_and_Personal_Care	toothpaste
9.025828E-4@Health_and_Personal_Care	dissolve
9.000298E-4@Health_and_Personal_Care	bottles
8.936851E-4@Health_and_Personal_Care	cane
