0.029935278317190454@Musical_Instrument	guitar
0.0019873395240269957@Musical_Instrument	leggiero
0.0019873395240269957@Musical_Instrument	'tall
0.0019873395240269957@Musical_Instrument	gueden's
0.0019873395240269957@Musical_Instrument	'very'
0.0019873395240269957@Musical_Instrument	cdjs
0.0019873395240269957@Musical_Instrument	cosplayer's
0.0019873395240269957@Musical_Instrument	resurrects
0.0019873395240269957@Musical_Instrument	l'esir
0.0019873395240269957@Musical_Instrument	hilde
0.0019873395240269957@Musical_Instrument	bajar
0.0019873395240269957@Musical_Instrument	appearancethis
0.0019873395240269957@Musical_Instrument	yellowrec
0.0019873395240269957@Musical_Instrument	donizetti's
0.0019873395240269957@Musical_Instrument	normalled
0.0019873395240269957@Musical_Instrument	mainstream/yet
0.0019873395240269957@Musical_Instrument	shanks
0.0019873395240269957@Musical_Instrument	bigsby
0.0019873395240269957@Musical_Instrument	cmrr
0.0019873395240269957@Musical_Instrument	goole's
0.0019873395240269957@Musical_Instrument	trebel
0.0019873395240269957@Musical_Instrument	patchbay
0.0019873395240269957@Musical_Instrument	downing's
0.0019873395240269957@Musical_Instrument	licenses
0.0019873395240269957@Musical_Instrument	budget/beginner
0.0019873395240269957@Musical_Instrument	grovers
0.0019873395240269957@Musical_Instrument	onstagestands
0.0019873395240269957@Musical_Instrument	backwardness
0.0019873395240269957@Musical_Instrument	wald
0.0019873395240269957@Musical_Instrument	one/both
0.0019873395240269957@Musical_Instrument	micropolyphony
0.0019873395240269957@Musical_Instrument	soundremember
0.0019873395240269957@Musical_Instrument	toulouse
0.0019873395240269957@Musical_Instrument	susto
0.0019873395240269957@Musical_Instrument	leadpipe
0.0019873395240269957@Musical_Instrument	begum
0.0019873395240269957@Musical_Instrument	intially
0.0019873395240269957@Musical_Instrument	fara
0.0019873395240269957@Musical_Instrument	tiptop
0.0019873395240269957@Musical_Instrument	eschenbach/philadelphia
0.0019873395240269957@Musical_Instrument	'crosspiece'
0.0019873395240269957@Musical_Instrument	rosamunde
0.0019873395240269957@Musical_Instrument	pdx
0.0019873395240269957@Musical_Instrument	rheingold
0.0019873395240269957@Musical_Instrument	life/brightness
0.0019873395240269957@Musical_Instrument	vocalizes
0.0019873395240269957@Musical_Instrument	siegfried
0.0019873395240269957@Musical_Instrument	zills
0.0019873395240269957@Musical_Instrument	sencor
0.0019873395240269957@Musical_Instrument	blackouts
0.0019873395240269957@Musical_Instrument	'di
0.0019873395240269957@Musical_Instrument	netbefore
0.0019873395240269957@Musical_Instrument	kbs
0.0019873395240269957@Musical_Instrument	endpin
0.0019873395240269957@Musical_Instrument	birgit
0.0019873395240269957@Musical_Instrument	efectos
0.0019873395240269957@Musical_Instrument	wet/dry/wet
0.0019873395240269957@Musical_Instrument	a/cl
0.0019873395240269957@Musical_Instrument	sefton
0.0019873395240269957@Musical_Instrument	frittered
0.0019873395240269957@Musical_Instrument	neutirks
0.0019873395240269957@Musical_Instrument	congas
0.0019873395240269957@Musical_Instrument	dissasembling
0.0019873395240269957@Musical_Instrument	wittner
0.0019873395240269957@Musical_Instrument	sequencer
0.0019873395240269957@Musical_Instrument	tav
0.0019873395240269957@Musical_Instrument	shanti
0.0019873395240269957@Musical_Instrument	ltds
0.0019873395240269957@Musical_Instrument	convoluded
0.0019873395240269957@Musical_Instrument	shockmount
0.0019873395240269957@Musical_Instrument	ypp
0.0019873395240269957@Musical_Instrument	catrdige
0.0019873395240269957@Musical_Instrument	pacemaker
0.0019873395240269957@Musical_Instrument	patchbays
0.0019873395240269957@Musical_Instrument	kazoos
0.0019873395240269957@Musical_Instrument	hipshot
0.0019873395240269957@Musical_Instrument	amapola
0.0019873395240269957@Musical_Instrument	permanent/semi
0.0019873395240269957@Musical_Instrument	piccolo
0.0019873395240269957@Musical_Instrument	verrrryyyy
0.0019873395240269957@Musical_Instrument	zimerman
0.0019873395240269957@Musical_Instrument	recieveing
0.0019873395240269957@Musical_Instrument	ilok
0.0019873395240269957@Musical_Instrument	endpins
0.0019873395240269957@Musical_Instrument	rokit
0.0019873395240269957@Musical_Instrument	dla
0.0019873395240269957@Musical_Instrument	mxl
0.0019873395240269957@Musical_Instrument	kinen
0.0019873395240269957@Musical_Instrument	reune
0.0019873395240269957@Musical_Instrument	rosining
0.0019873395240269957@Musical_Instrument	praiseful
0.0019873395240269957@Musical_Instrument	bnm
0.0019873395240269957@Musical_Instrument	jingler
0.0019873395240269957@Musical_Instrument	munoz
0.0019873395240269957@Musical_Instrument	nemerino
0.0019873395240269957@Musical_Instrument	coffeehouses
0.0019873395240269957@Musical_Instrument	tripleflex
0.0019873395240269957@Musical_Instrument	remler
0.0019873395240269957@Musical_Instrument	'stride'
0.0019873395240269957@Musical_Instrument	sbx
0.0019873395240269957@Musical_Instrument	backbore
0.0019873395240269957@Musical_Instrument	dauther
0.0019873395240269957@Musical_Instrument	instructer
0.0019873395240269957@Musical_Instrument	spec's
0.0019873395240269957@Musical_Instrument	gyorgy
0.0019873395240269957@Musical_Instrument	nickelwound
0.0019873395240269957@Musical_Instrument	anygood
0.0019873395240269957@Musical_Instrument	leadpipes
0.0019873395240269957@Musical_Instrument	beginniner
0.0019873395240269957@Musical_Instrument	dynmics
