0.27423516@Movies_and_TV	movie
0.0038778028@Movies_and_TV	commentary
0.0038183108@Movies_and_TV	audience
0.003790303@Movies_and_TV	casting
0.0037811624@Movies_and_TV	entertaining
0.003681783@Movies_and_TV	theater
0.0036337946@Movies_and_TV	starring
0.0035671121@Movies_and_TV	flicks
0.003545211@Movies_and_TV	aired
0.0035352774@Movies_and_TV	based
0.0035223158@Movies_and_TV	fan
0.00352227@Movies_and_TV	remake
0.0034682024@Movies_and_TV	director's
0.0034650294@Movies_and_TV	screenplay
0.003457615@Movies_and_TV	rented
0.0032951424@Movies_and_TV	released
0.003288195@Movies_and_TV	directors
0.0032807123@Movies_and_TV	version
0.0032216643@Movies_and_TV	actresses
0.0031558967@Movies_and_TV	filmmakers
0.0031553183@Movies_and_TV	filming
0.0031337934@Movies_and_TV	disney
0.00310375@Movies_and_TV	original
0.003068049@Movies_and_TV	cartoon
0.0029946126@Movies_and_TV	fans
0.0029906363@Movies_and_TV	release
0.002985799@Movies_and_TV	soundtrack
0.0029568202@Movies_and_TV	credits
0.0029214467@Movies_and_TV	budget
0.002913865@Movies_and_TV	violence
0.0028767597@Movies_and_TV	man
0.0028764724@Movies_and_TV	adaptation
0.002871163@Movies_and_TV	watchable
0.0028407264@Movies_and_TV	john
0.0028403758@Movies_and_TV	easy
0.0027120663@Movies_and_TV	trailers
0.0027064288@Movies_and_TV	cinematic
0.0026898698@Movies_and_TV	laughs
0.0026562742@Movies_and_TV	moments
0.0026280573@Movies_and_TV	reading
0.0026101158@Movies_and_TV	dialogue
0.002558679@Movies_and_TV	product
0.0025422205@Movies_and_TV	portrayal
0.0024861046@Movies_and_TV	funniest
0.0024839828@Movies_and_TV	laugh
0.0024831174@Movies_and_TV	collection
0.0024825505@Movies_and_TV	pretty
0.0023894086@Movies_and_TV	comedic
0.0023808375@Movies_and_TV	documentaries
0.0023636569@Movies_and_TV	comic
0.0023059403@Movies_and_TV	author
0.0022650973@Movies_and_TV	shot
0.0022460404@Movies_and_TV	producers
0.0022369407@Movies_and_TV	's
0.0022313627@Movies_and_TV	wwii
0.002228511@Movies_and_TV	score
0.0022209166@Movies_and_TV	sci
0.0022172704@Movies_and_TV	family
0.002212302@Movies_and_TV	featurette
0.0022028931@Movies_and_TV	young
0.0021997655@Movies_and_TV	visuals
0.0021971462@Movies_and_TV	superb
0.0021837312@Movies_and_TV	enjoy
0.0021395094@Movies_and_TV	size
0.002125658@Movies_and_TV	sequence
0.0021104494@Movies_and_TV	discs
0.0020978774@Movies_and_TV	interviews
0.0020702751@Movies_and_TV	jokes
0.002067265@Movies_and_TV	supporting
0.002065265@Movies_and_TV	king
0.002041459@Movies_and_TV	viewings
0.002036996@Movies_and_TV	works
0.0020320818@Movies_and_TV	scary
0.002031128@Movies_and_TV	star
0.0019973482@Movies_and_TV	depp
0.0019830973@Movies_and_TV	robert
0.001966883@Movies_and_TV	michael
0.001964993@Movies_and_TV	franchise
0.0019357018@Movies_and_TV	cartoons
0.0018941675@Movies_and_TV	crew
0.0018646322@Movies_and_TV	fit
0.0018613824@Movies_and_TV	frank
0.0018514944@Movies_and_TV	trailer
0.0018367969@Movies_and_TV	kevin
0.001804784@Movies_and_TV	campy
0.0017803455@Movies_and_TV	living
0.0017564421@Movies_and_TV	audiences
0.0017517946@Movies_and_TV	scott
0.0017504002@Movies_and_TV	ending
0.0017282796@Movies_and_TV	hanks
0.0017273786@Movies_and_TV	time
0.00171579@Movies_and_TV	slasher
0.0017148142@Movies_and_TV	bbc
0.0017066635@Movies_and_TV	fight
0.001695748@Movies_and_TV	people
0.0016930293@Movies_and_TV	cheesy
0.0016882321@Movies_and_TV	characters
0.0016828395@Movies_and_TV	peter
0.0016715479@Movies_and_TV	god
0.0016622741@Movies_and_TV	filmmaking
