0.09504472@Grocery_and_Gourmet_Food	flavor
0.002203621@Grocery_and_Gourmet_Food	sweeteners
0.0021826646@Grocery_and_Gourmet_Food	natural
0.0021663962@Grocery_and_Gourmet_Food	powder
0.0021549787@Grocery_and_Gourmet_Food	calorie
0.0021529389@Grocery_and_Gourmet_Food	blend
0.0021457397@Grocery_and_Gourmet_Food	oil
0.0021415588@Grocery_and_Gourmet_Food	spices
0.0021282197@Grocery_and_Gourmet_Food	oats
0.002105898@Grocery_and_Gourmet_Food	cereals
0.0020593212@Grocery_and_Gourmet_Food	lipton
0.0020335624@Grocery_and_Gourmet_Food	stores
0.0020321785@Grocery_and_Gourmet_Food	raisins
0.0020229889@Grocery_and_Gourmet_Food	chicken
0.0020043019@Grocery_and_Gourmet_Food	drinker
0.0019935982@Grocery_and_Gourmet_Food	foods
0.0019636278@Grocery_and_Gourmet_Food	stale
0.0019588503@Grocery_and_Gourmet_Food	bars
0.0019574864@Grocery_and_Gourmet_Food	packet
0.001937593@Grocery_and_Gourmet_Food	sauces
0.0019224648@Grocery_and_Gourmet_Food	gum
0.0019214133@Grocery_and_Gourmet_Food	eaten
0.0019032204@Grocery_and_Gourmet_Food	pods
0.0018794299@Grocery_and_Gourmet_Food	fiber
0.0018718716@Grocery_and_Gourmet_Food	garlic
0.0018596615@Grocery_and_Gourmet_Food	cheddar
0.0018437954@Grocery_and_Gourmet_Food	lemon
0.0018289621@Grocery_and_Gourmet_Food	sour
0.0018255503@Grocery_and_Gourmet_Food	cashews
0.001812675@Grocery_and_Gourmet_Food	food
0.0017874539@Grocery_and_Gourmet_Food	bag
0.0017746041@Grocery_and_Gourmet_Food	store
0.0017651038@Grocery_and_Gourmet_Food	pepper
0.0017578455@Grocery_and_Gourmet_Food	meal
0.0017220507@Grocery_and_Gourmet_Food	brands
0.001719414@Grocery_and_Gourmet_Food	fructose
0.0017181595@Grocery_and_Gourmet_Food	pack
0.001700192@Grocery_and_Gourmet_Food	supermarket
0.0016909066@Grocery_and_Gourmet_Food	bread
0.0016736505@Grocery_and_Gourmet_Food	matcha
0.0016729682@Grocery_and_Gourmet_Food	salad
0.0016712286@Grocery_and_Gourmet_Food	story
0.0016546592@Grocery_and_Gourmet_Food	boxes
0.0016475057@Grocery_and_Gourmet_Food	cans
0.0016464986@Grocery_and_Gourmet_Food	juice
0.0016377869@Grocery_and_Gourmet_Food	drinks
0.0016288236@Grocery_and_Gourmet_Food	tart
0.001618304@Grocery_and_Gourmet_Food	chili
0.0016038159@Grocery_and_Gourmet_Food	yogurt
0.0015945542@Grocery_and_Gourmet_Food	seasonings
0.001567271@Grocery_and_Gourmet_Food	soda
0.001561679@Grocery_and_Gourmet_Food	peanuts
0.0015476845@Grocery_and_Gourmet_Food	tangy
0.0014952281@Grocery_and_Gourmet_Food	olive
0.0014902954@Grocery_and_Gourmet_Food	nutty
0.0014698718@Grocery_and_Gourmet_Food	seeds
0.0014658648@Grocery_and_Gourmet_Food	salads
0.001453599@Grocery_and_Gourmet_Food	cracker
0.0014471047@Grocery_and_Gourmet_Food	salted
0.0014430362@Grocery_and_Gourmet_Food	water
0.0014049481@Grocery_and_Gourmet_Food	servings
0.0014012144@Grocery_and_Gourmet_Food	twinings
0.001398958@Grocery_and_Gourmet_Food	ingredient
0.0013957266@Grocery_and_Gourmet_Food	soups
0.0013865494@Grocery_and_Gourmet_Food	sweeten
0.0013813041@Grocery_and_Gourmet_Food	kona
0.0013786878@Grocery_and_Gourmet_Food	unsweetened
0.001372856@Grocery_and_Gourmet_Food	broth
0.0013697989@Grocery_and_Gourmet_Food	amazon
0.0013689778@Grocery_and_Gourmet_Food	senseo
0.0013653017@Grocery_and_Gourmet_Food	mild
0.0013627146@Grocery_and_Gourmet_Food	crispy
0.0013583222@Grocery_and_Gourmet_Food	dried
0.0013582833@Grocery_and_Gourmet_Food	packages
0.0013503855@Grocery_and_Gourmet_Food	mints
0.0013490531@Grocery_and_Gourmet_Food	expiration
0.0013472887@Grocery_and_Gourmet_Food	varieties
0.001346252@Grocery_and_Gourmet_Food	serving
0.0013456934@Grocery_and_Gourmet_Food	strawberry
0.0013424652@Grocery_and_Gourmet_Food	blueberry
0.0013390515@Grocery_and_Gourmet_Food	baked
0.0013247924@Grocery_and_Gourmet_Food	powdered
0.00132458@Grocery_and_Gourmet_Food	gmo
0.0013236135@Grocery_and_Gourmet_Food	mocha
0.0013024419@Grocery_and_Gourmet_Food	ate
0.0013020635@Grocery_and_Gourmet_Food	diet
0.0012894288@Grocery_and_Gourmet_Food	teaspoon
